index,Country,Region,Population,region_sale,region_population,region_per_person,country_sale
1,Albania ,EUROPE,3581655,2047.76,516254715,3.9665691,14206882.05
2,Andorra ,EUROPE,71201,2047.76,516254715,3.9665691,282423.6865
3,Austria ,EUROPE,8192880,2047.76,516254715,3.9665691,32497624.64
4,Belgium ,EUROPE,10379067,2047.76,516254715,3.9665691,41169286.44
5,Bermuda ,NORTHERN AMERICA,65773,3572.12,331672307,10.7700279,708377.0451
6,Bosnia & Herzegovina ,EUROPE,4498976,2047.76,516254715,3.9665691,17845499.18
7,Bulgaria ,EUROPE,7385367,2047.76,516254715,3.9665691,29294568.53
8,Canada ,NORTHERN AMERICA,33098932,3572.12,331672307,10.7700279,356476421.1
9,Croatia ,EUROPE,4494749,2047.76,516254715,3.9665691,17828732.49
10,Czech Republic ,EUROPE,10235455,2047.76,516254715,3.9665691,40599639.52
11,Denmark ,EUROPE,5450661,2047.76,516254715,3.9665691,21620423.49
12,Faroe Islands ,EUROPE,47246,2047.76,516254715,3.9665691,187404.5237
13,Finland ,EUROPE,5231372,2047.76,516254715,3.9665691,20750598.52
14,France ,EUROPE,60876136,2047.76,516254715,3.9665691,241469400
15,Germany ,EUROPE,82422299,2047.76,516254715,3.9665691,326933744.3
16,Gibraltar ,EUROPE,27928,2047.76,516254715,3.9665691,110778.3418
17,Greece ,EUROPE,10688058,2047.76,516254715,3.9665691,42394920.6
18,Greenland ,NORTHERN AMERICA,56361,3572.12,331672307,10.7700279,607009.5425
19,Guernsey ,EUROPE,65409,2047.76,516254715,3.9665691,259449.3182
20,Hungary ,EUROPE,9981334,2047.76,516254715,3.9665691,39591651.02
21,Iceland ,EUROPE,299388,2047.76,516254715,3.9665691,1187543.19
22,Ireland ,EUROPE,4062235,2047.76,516254715,3.9665691,16113135.83
23,Isle of Man ,EUROPE,75441,2047.76,516254715,3.9665691,299241.9394
24,Italy ,EUROPE,58133509,2047.76,516254715,3.9665691,230590580.4
25,Jersey ,EUROPE,91084,2047.76,516254715,3.9665691,361290.9799
26,Liechtenstein ,EUROPE,33987,2047.76,516254715,3.9665691,134811.784
27,Luxembourg ,EUROPE,474413,2047.76,516254715,3.9665691,1881791.946
28,Macedonia ,EUROPE,2050554,2047.76,516254715,3.9665691,8133664.133
29,Malta ,EUROPE,400214,2047.76,516254715,3.9665691,1587476.486
30,Monaco ,EUROPE,32543,2047.76,516254715,3.9665691,129084.0582
31,Netherlands ,EUROPE,16491461,2047.76,516254715,3.9665691,65414519.61
32,Norway ,EUROPE,4610820,2047.76,516254715,3.9665691,18289136.14
33,Poland ,EUROPE,38536869,2047.76,516254715,3.9665691,152859153.8
34,Portugal ,EUROPE,10605870,2047.76,516254715,3.9665691,42068916.22
35,Romania ,EUROPE,22303552,2047.76,516254715,3.9665691,88468580.17
36,St Pierre & Miquelon ,NORTHERN AMERICA,7026,3572.12,331672307,10.7700279,75670.21602
37,San Marino ,EUROPE,29251,2047.76,516254715,3.9665691,116026.1127
38,Serbia ,EUROPE,9396411,2047.76,516254715,3.9665691,37271513.52
39,Slovakia ,EUROPE,5439448,2047.76,516254715,3.9665691,21575946.36
40,Slovenia ,EUROPE,2010347,2047.76,516254715,3.9665691,7974180.29
41,Spain ,EUROPE,40397842,2047.76,516254715,3.9665691,160240831.8
42,Sweden ,EUROPE,9016596,2047.76,516254715,3.9665691,35764951.08
43,Switzerland ,EUROPE,7523934,2047.76,516254715,3.9665691,29844204.11
44,United Kingdom ,EUROPE,60609153,2047.76,516254715,3.9665691,240410393.4
45,United States ,NORTHERN AMERICA,298444215,3572.12,331672307,10.7700279,3214252522
46,Japan ,ASIA (EX. NEAR EAST)         ,127463611,777.56,127463611,6.100250839,777560000